DexNumber,Name,DefName,Type1,Type2,HP,Attack,Defense,SpAttack,SpDefense,Speed,Size,SizeMulti,Mass,GenderDifference,BaseFriendship,GenderLess,FemaleRatio,EvolTier,EvolLine,EvolMax,LvlBasedEvolution,EvolLvl,Baby,Fossil,Legendary,ParticularSpawn,Rarity,MinWildLvl,MaxWildLvl,XpCategory,CatchRate,EggGroup1,EggGroup2,EggCycles,EggLayTime,EggHatchTime,ExpYield,HPEv,AttackEv,DefenseEv,SpAttackEv,SpDefenseEv,SpeedEv,RimworldShape
1,Bulbasaur,Bulbasaur,Grass,Poison,45,49,49,65,65,45,0.7,1,6.9,0,50,0,0.125,1,1,0,1,16,0,0,0,0,3,5,12,MediumSlow,45,Monster,Grass,20,6.7,13.3,64,0,0,0,1,0,0,QuadrupedPokemonWithPaws
2,Ivysaur,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,1,13,0,50,0,0.125,2,1,0,1,32,0,0,0,0,5,20,27,MediumSlow,45,Monster,Grass,20,6.7,13.3,141,0,0,0,1,1,0,QuadrupedPokemonWithPaws
3,Venusaur,Venusaur,Grass,Poison,80,82,83,100,100,80,2,1,100,1,50,0,0.125,3,1,1,0,0,0,0,0,0,7,35,42,MediumSlow,45,Monster,Grass,20,6.7,13.3,208,0,0,0,2,1,0,QuadrupedPokemonWithPaws
4,Charmander,Charmander,Fire,,39,52,43,60,50,65,0.6,1,8.5,0,50,0,0.125,1,2,0,1,16,0,0,0,0,3,5,12,MediumSlow,45,Monster,Dragon,20,6.7,13.3,65,0,0,0,0,0,1,BipedPokemonWithTail
5,Charmeleon,Charmeleon,Fire,,58,64,58,80,65,80,1.1,1,19,0,50,0,0.125,2,2,0,1,36,0,0,0,0,5,20,27,MediumSlow,45,Monster,Dragon,20,6.7,13.3,142,0,0,0,1,0,1,BipedPokemonWithTail
6,Charizard,Charizard,Fire,Flying,78,84,78,109,85,100,1.7,1,90.5,0,50,0,0.125,3,2,1,0,0,0,0,0,0,7,36,42,MediumSlow,45,Monster,Dragon,20,6.7,13.3,209,0,0,0,3,0,0,BipedPokemonWithTail
7,Squirtle,Squirtle,Water,,44,48,65,50,64,43,0.5,1,9,0,50,0,0.125,1,3,0,1,16,0,0,0,0,3,5,12,MediumSlow,45,Monster,Water1,20,6.7,13.3,66,0,0,1,0,0,0,BipedPokemonWithTail
8,Wartortle,Wartortle,Water,,59,63,80,65,80,58,1,1,22.5,0,50,0,0.125,2,3,0,1,36,0,0,0,0,5,20,27,MediumSlow,45,Monster,Water1,20,6.7,13.3,143,0,0,1,0,1,0,BipedPokemonWithTail
9,Blastoise,Blastoise,Water,,79,83,100,85,105,78,1.6,1,85.5,0,50,0,0.125,3,3,1,0,0,0,0,0,0,7,36,42,MediumSlow,45,Monster,Water1,20,6.7,13.3,210,0,0,0,0,3,0,BipedPokemonWithTail
10,Caterpie,Caterpie,Bug,,45,30,35,20,20,45,0.3,1,2.9,0,50,0,0.5,1,4,0,1,7,0,0,0,0,1,2,5,MediumFast,255,Bug,,15,5,10,53,1,0,0,0,0,0,InsectPokemonWith6Legs
11,Metapod,Metapod,Bug,,50,20,55,25,25,30,0.7,1,9.9,0,50,0,0.5,2,4,0,1,10,0,0,0,0,3,6,8,MediumFast,120,Bug,,15,5,10,72,0,0,2,0,0,0,SnakePokemon
12,Butterfree,Butterfree,Bug,Flying,60,45,50,90,80,70,1.1,1,32,0,50,0,0.5,3,4,1,0,0,0,0,0,0,5,15,25,MediumFast,45,Bug,,15,5,10,160,0,0,0,2,1,0,InsectPokemonWithWingsAndLegs
13,Weedle,Weedle,Bug,Poison,40,35,30,20,20,50,0.3,1,3.2,0,50,0,0.5,1,5,0,1,7,0,0,0,0,1,2,5,MediumFast,255,Bug,,15,5,10,52,0,0,0,0,0,1,InsectPokemonWith6Legs
14,Kakuna,Kakuna,Bug,Poison,45,25,50,25,25,35,0.6,1,10,0,50,0,0.5,2,5,0,1,10,0,0,0,0,3,5,8,MediumFast,120,Bug,,15,5,10,71,0,0,2,0,0,0,SnakePokemon
15,Beedrill,Beedrill,Bug,Poison,65,90,40,45,80,75,1,1,29.5,0,50,0,0.5,3,5,1,0,0,0,0,0,0,5,15,25,MediumFast,45,Bug,,15,5,10,159,0,2,0,0,1,0,InsectPokemonWithWingsAndLegs
16,Pidgey,Pidgey,Normal,Flying,40,45,40,35,35,56,0.3,1,1.8,0,50,0,0.5,1,6,0,1,18,0,0,0,0,1,3,10,MediumSlow,255,Flying,,15,5,10,55,0,0,0,0,0,1,WingedPokemonWithBeak
17,Pidgeotto,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1.1,1,30,0,50,0,0.5,2,6,0,1,36,0,0,0,0,4,20,27,MediumSlow,120,Flying,,15,5,10,113,0,0,0,0,0,2,WingedPokemonWithBeak
18,Pidgeot,Pidgeot,Normal,Flying,83,80,75,70,70,101,1.5,1,39.5,0,50,0,0.5,3,6,1,0,0,0,0,0,0,6,36,42,MediumSlow,45,Flying,,15,5,10,172,0,0,0,0,0,3,WingedPokemonWithBeak
19,Rattata,Rattata,Normal,,30,56,35,25,35,72,0.3,1,3.5,0,50,0,0.5,1,7,0,1,20,0,0,0,0,1,3,8,MediumFast,255,Field,,15,5,10,57,0,0,0,0,0,1,QuadrupedPokemonWithPaws
20,Raticate,Raticate,Normal,,55,81,60,50,70,97,0.7,1,18.5,0,50,0,0.5,2,7,1,0,0,0,0,0,0,4,22,29,MediumFast,127,Field,,15,5,10,116,0,0,0,0,0,2,QuadrupedPokemonWithPaws
21,Spearow,Spearow,Normal,Flying,40,60,30,31,31,70,0.3,1,2,0,50,0,0.5,1,8,0,1,20,0,0,0,0,1,3,10,MediumFast,255,Flying,,15,5,10,58,0,0,0,0,0,1,WingedPokemonWithBeak
22,Fearow,Fearow,Normal,Flying,65,90,65,61,61,100,1.2,1,38,0,50,0,0.5,2,8,1,0,0,0,0,0,0,5,23,30,MediumFast,90,Flying,,15,5,10,162,0,0,0,0,0,2,WingedPokemonWithBeak
23,Ekans,Ekans,Poison,,35,60,44,40,54,55,1,1,6.9,0,50,0,0.5,1,9,0,1,22,0,0,0,0,1,4,12,MediumFast,255,Field,Dragon,20,6.7,13.3,62,0,1,0,0,0,0,SnakePokemon
24,Arbok,Arbok,Poison,,60,95,69,65,79,80,1.8,1,65,0,50,0,0.5,2,9,1,0,0,0,0,0,0,5,23,29,MediumFast,90,Field,Dragon,20,6.7,13.3,147,0,2,0,0,0,0,SnakePokemon
25,Pikachu,Pikachu,Electric,,35,55,40,50,50,90,0.4,1,6,1,50,0,0.5,2,10,0,0,0,0,0,0,0,3,5,12,MediumFast,190,Field,Fairy,10,3.3,6.7,82,0,0,0,0,0,2,QuadrupedPokemonWithPaws
26,Raichu,Raichu,Electric,,60,90,55,90,80,110,0.8,1,30,0,50,0,0.5,3,10,1,0,0,0,0,0,0,6,23,29,MediumFast,75,Field,Fairy,10,3.3,6.7,122,0,0,0,0,0,3,BipedPokemonWithTail
27,Sandshrew,Sandshrew,Ground,,50,75,85,20,30,40,0.6,1,12,0,50,0,0.5,1,11,0,1,22,0,0,0,0,1,4,12,MediumFast,255,Field,,20,6.7,13.3,93,0,0,1,0,0,0,BipedPokemonWithTail
28,Sandslash,Sandslash,Ground,,75,100,110,45,55,65,1,1,29.5,0,50,0,0.5,2,11,1,0,0,0,0,0,0,5,23,29,MediumFast,90,Field,,20,6.7,13.3,163,0,0,2,0,0,0,BipedPokemonWithTail
29,Nidoran?,NidoranF,Poison,,55,47,52,40,40,41,0.4,1,7,0,50,0,1,1,12,0,1,16,0,0,0,0,1,3,10,MediumSlow,235,Monster,Field,20,6.7,13.3,59,1,0,0,0,0,0,QuadrupedPokemonWithPaws
30,Nidorina,Nidorina,Poison,,70,62,67,55,55,56,0.8,1,20,0,50,0,1,2,12,0,0,0,0,0,0,0,4,18,25,MediumSlow,120,Monster,Field,20,6.7,13.3,117,2,0,0,0,0,0,QuadrupedPokemonWithPaws
31,Nidoqueen,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1.3,1,60,0,50,0,1,3,12,1,0,0,0,0,0,0,6,32,40,MediumSlow,45,Monster,Field,20,6.7,13.3,194,3,0,0,0,0,0,BipedPokemonWithTail
32,Nidoran?,NidoranM,Poison,,46,57,40,40,40,50,0.5,1,9,0,50,0,0,1,13,0,1,16,0,0,0,0,1,3,10,MediumSlow,235,Monster,Field,20,6.7,13.3,60,0,1,0,0,0,0,QuadrupedPokemonWithPaws
33,Nidorino,Nidorino,Poison,,61,72,57,55,55,65,0.9,1,19.5,0,50,0,0,2,13,0,0,0,0,0,0,0,4,18,25,MediumSlow,120,Monster,Field,20,6.7,13.3,118,0,2,0,0,0,0,QuadrupedPokemonWithPaws
34,Nidoking,Nidoking,Poison,Ground,81,102,77,85,75,85,1.4,1,62,0,50,0,0,3,13,1,0,0,0,0,0,0,6,32,40,MediumSlow,45,Monster,Field,20,6.7,13.3,195,0,3,0,0,0,0,BipedPokemonWithTail
35,Clefairy,Clefairy,Fairy,,70,45,48,60,65,35,0.6,1,7.5,0,140,0,0.75,2,14,0,0,0,0,0,0,0,3,8,15,Fast,150,Fairy,,10,3.3,6.7,68,2,0,0,0,0,0,BipedPokemonWithTail
36,Clefable,Clefable,Fairy,,95,70,73,95,90,60,1.3,1,40,0,140,0,0.75,3,14,1,0,0,0,0,0,0,6,22,30,Fast,25,Fairy,,10,3.3,6.7,129,3,0,0,0,0,0,BipedPokemonWithTail
37,Vulpix,Vulpix,Fire,,38,41,40,50,65,65,0.6,1,9.9,0,50,0,0.75,1,15,0,0,0,0,0,0,0,3,8,15,MediumFast,190,Field,,20,6.7,13.3,63,0,0,0,0,0,1,QuadrupedPokemonWithPaws
38,Ninetales,Ninetales,Fire,,73,76,75,81,100,100,1.1,1,19.9,0,50,0,0.75,2,15,1,0,0,0,0,0,0,6,22,30,MediumFast,75,Field,,20,6.7,13.3,178,0,0,0,1,1,0,QuadrupedPokemonWithPaws
39,Jigglypuff,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,0.5,1,5.5,0,50,0,0.75,2,16,0,0,0,0,0,0,0,2,8,15,Fast,170,Fairy,,10,3.3,6.7,76,2,0,0,0,0,0,BipedPokemon
40,Wigglytuff,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,1,12,0,50,0,0.75,3,16,1,0,0,0,0,0,0,6,22,30,Fast,50,Fairy,,10,3.3,6.7,109,3,0,0,0,0,0,BipedPokemon
41,Zubat,Zubat,Poison,Flying,40,45,35,30,40,55,0.8,1,7.5,0,50,0,0.5,1,17,0,1,22,0,0,0,0,1,3,10,MediumFast,255,Flying,,15,5,10,54,0,0,0,0,0,1,WingedPokemonWithJaw
42,Golbat,Golbat,Poison,Flying,75,80,70,65,75,90,1.6,1,55,0,50,0,0.5,2,17,0,0,0,0,0,0,0,4,22,27,MediumFast,90,Flying,,15,5,10,171,0,0,0,0,0,2,WingedPokemonWithJaw
43,Oddish,Oddish,Grass,Poison,45,50,55,75,65,30,0.5,1,5.4,0,50,0,0.5,1,18,0,1,21,0,0,0,0,1,4,12,MediumSlow,255,Grass,,20,6.7,13.3,78,0,0,0,1,0,0,HeadPokemonWithLegs
44,Gloom,Gloom,Grass,Poison,60,65,70,85,75,40,0.8,1,8.6,0,50,0,0.5,2,18,0,0,0,0,0,0,0,4,21,26,MediumSlow,120,Grass,,20,6.7,13.3,132,0,0,0,2,0,0,BipedPokemon
